kml_file,type,name,order,lat,lon,station,dir
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,0,14.6499356,-90.4723964,,IDA
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,1,14.6498965,-90.4723779,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,2,14.6498511,-90.4723383,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,3,14.6498388,-90.4722729,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,4,14.6498586,-90.4722054,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,5,14.649938,-90.4721566,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,6,14.6501002,-90.4720399,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,7,14.6505142,-90.4717864,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,8,14.6508191,-90.4716188,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,9,14.6511272,-90.4714948,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,10,14.6514681,-90.4713979,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,11,14.6520114,-90.4712527,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,12,14.6525279,-90.4711803,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,13,14.652947,-90.4711226,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,14,14.6533401,-90.4710864,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,15,14.6538927,-90.4710361,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,16,14.6541613,-90.4709895,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,17,14.6543967,-90.4708965,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,18,14.6545881,-90.4707846,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,19,14.6547945,-90.4706271,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,20,14.6550378,-90.4703498,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,21,14.6552632,-90.4699483,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,22,14.6555666,-90.4694181,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,23,14.6558546,-90.4688548,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,24,14.6560025,-90.4684847,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,25,14.6560829,-90.4681575,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,26,14.6561309,-90.4678758,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,27,14.656142,-90.4675741,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,28,14.6561137,-90.4671389,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,29,14.6560284,-90.4665481,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,30,14.6558961,-90.4656496,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,31,14.655795,-90.4648181,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,32,14.6557223,-90.4643608,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,33,14.6556288,-90.463998,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,34,14.6555276,-90.4635967,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,35,14.6553304,-90.4630908,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,36,14.6550177,-90.462443,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,37,14.6547206,-90.4618113,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,38,14.6542276,-90.4607975,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,39,14.6539447,-90.4602315,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,40,14.6536904,-90.4597273,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,41,14.6534451,-90.4591922,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,42,14.6530812,-90.4584204,,
doc.kml,Polygon,Línea 18 - Atlántida - Paraíso,43,14.6528574,-90.4579007,,
