Placa,min_fecha,max_fecha,linea
100,2024-05-13 05:23:54,2024-05-13 21:06:14,Linea_12
101,2024-05-13 04:31:18,2024-05-13 20:06:33,Linea_18-A
102,2024-05-13 06:39:53,2024-05-13 20:48:51,Linea_12
105,2024-05-13 06:18:24,2024-05-13 21:35:45,Linea_12
106,2024-05-13 04:23:57,2024-05-13 21:05:17,Linea_12
107,2024-05-13 04:15:57,2024-05-13 18:41:56,Linea_12
111,2024-05-13 04:52:27,2024-05-13 19:10:44,Linea_12
112,2024-05-13 04:51:53,2024-05-13 21:12:58,Linea_18-B
113,2024-05-13 07:01:55,2024-05-13 13:31:17,Linea_12
114,2024-05-13 04:54:03,2024-05-13 19:26:02,Linea_12
115,2024-05-13 17:01:41,2024-05-13 19:48:14,Linea_12
116,2024-05-13 04:41:23,2024-05-13 19:00:56,Linea_12
117,2024-05-13 06:41:44,2024-05-13 20:44:34,Linea_12
118,2024-05-13 04:56:32,2024-05-13 19:37:21,Linea_12
119,2024-05-13 05:36:59,2024-05-13 19:08:47,Linea_12
121,2024-05-13 04:37:26,2024-05-13 19:04:49,Linea_12
122,2024-05-13 04:55:18,2024-05-13 19:28:05,Linea_12
123,2024-05-13 06:47:08,2024-05-13 21:03:30,Linea_12
124,2024-05-13 05:09:24,2024-05-13 21:32:48,Linea_18-A
125,2024-05-13 04:26:44,2024-05-13 18:47:44,Linea_12
129,2024-05-13 04:51:37,2024-05-13 21:11:12,Linea_12
130,2024-05-13 04:45:46,2024-05-13 21:14:10,Linea_12
131,2024-05-13 05:12:22,2024-05-13 21:14:14,Linea_12
132,2024-05-13 05:11:27,2024-05-13 19:52:38,Linea_12
133,2024-05-13 08:47:50,2024-05-13 09:05:51,Linea_12
134,2024-05-13 14:48:34,2024-05-13 21:51:13,Linea_12
135,2024-05-13 05:03:47,2024-05-13 19:46:26,Linea_12
136,2024-05-13 04:29:21,2024-05-13 19:18:15,Linea_12
137,2024-05-13 04:21:30,2024-05-13 18:50:50,Linea_12
138,2024-05-13 09:02:58,2024-05-13 10:12:18,Linea_12
139,2024-05-13 06:27:24,2024-05-13 21:00:46,Linea_12
140,2024-05-13 16:08:27,2024-05-13 18:55:42,Linea_12
141,2024-05-13 04:47:18,2024-05-13 19:15:58,Linea_12
142,2024-05-13 05:09:33,2024-05-13 19:48:07,Linea_12
144,2024-05-13 05:01:26,2024-05-13 19:33:27,Linea_12
145,2024-05-13 06:46:50,2024-05-13 20:31:41,Linea_12
146,2024-05-13 06:54:12,2024-05-13 20:47:49,Linea_12
148,2024-05-13 06:49:13,2024-05-13 20:32:17,Linea_12
149,2024-05-13 04:48:02,2024-05-13 18:57:02,Linea_12
150,2024-05-13 04:59:25,2024-05-13 19:03:54,Linea_12
151,2024-05-13 05:07:45,2024-05-13 18:28:26,Linea_12
152,2024-05-13 04:47:49,2024-05-13 18:50:58,Linea_13-A
153,2024-05-13 04:36:06,2024-05-13 18:53:30,Linea_13-A
154,2024-05-13 04:42:10,2024-05-13 18:45:51,Linea_13-A
155,2024-05-13 09:40:10,2024-05-13 19:21:51,Linea_12
156,2024-05-13 19:04:37,2024-05-13 19:26:09,Linea_13-A
157,2024-05-13 04:40:54,2024-05-13 18:52:39,Linea_13-A
158,2024-05-13 04:37:24,2024-05-13 18:57:41,Linea_13-A
161,2024-05-13 04:46:50,2024-05-13 18:41:12,Linea_13-A
201,2024-05-13 04:50:19,2024-05-13 19:39:16,Linea_13-A
203,2024-05-13 04:49:11,2024-05-13 20:38:55,Linea_1
204,2024-05-13 05:04:16,2024-05-13 19:25:07,Linea_13-A
205,2024-05-13 05:16:50,2024-05-13 20:25:51,Linea_13-A
206,2024-05-13 04:39:39,2024-05-13 19:10:43,Linea_13-A
207,2024-05-13 05:08:10,2024-05-13 20:03:46,Linea_1
208,2024-05-13 04:48:27,2024-05-13 21:04:36,Linea_13-A
210,2024-05-13 05:04:20,2024-05-13 20:23:14,Linea_1
211,2024-05-13 05:02:07,2024-05-13 20:26:35,Linea_6
214,2024-05-13 05:30:26,2024-05-13 16:37:45,Linea_1
215,2024-05-13 04:35:46,2024-05-13 19:45:02,Linea_13-A
216,2024-05-13 04:31:21,2024-05-13 21:26:52,Linea_13-A
217,2024-05-13 05:26:26,2024-05-13 20:02:59,Linea_13-A
218,2024-05-13 04:37:51,2024-05-13 18:46:03,Linea_1
219,2024-05-13 04:31:28,2024-05-13 19:33:05,Linea_6
220,2024-05-13 15:33:42,2024-05-13 20:05:09,Linea_6
221,2024-05-13 04:42:24,2024-05-13 19:43:51,Linea_13-A
222,2024-05-13 05:04:18,2024-05-13 21:09:59,Linea_13-A
223,2024-05-13 15:22:45,2024-05-13 15:55:14,Linea_13-A
224,2024-05-13 04:45:25,2024-05-13 13:19:28,Linea_13-A
225,2024-05-13 05:07:17,2024-05-13 20:06:25,Linea_1
226,2024-05-13 04:31:34,2024-05-13 21:25:23,Linea_6
227,2024-05-13 05:10:56,2024-05-13 20:09:36,Linea_1
228,2024-05-13 04:44:06,2024-05-13 19:07:32,Linea_13-A
232,2024-05-13 04:57:53,2024-05-13 12:41:03,Linea_13-A
233,2024-05-13 15:24:37,2024-05-13 20:04:22,Linea_6
234,2024-05-13 04:36:23,2024-05-13 19:03:58,Linea_6
235,2024-05-13 04:35:22,2024-05-13 19:21:32,Linea_13-A
236,2024-05-13 15:31:02,2024-05-13 20:20:22,Linea_6
237,2024-05-13 12:06:59,2024-05-13 20:50:56,Linea_6
238,2024-05-13 05:17:07,2024-05-13 20:12:29,Linea_1
239,2024-05-13 04:44:41,2024-05-13 20:59:09,Linea_13-A
240,2024-05-13 04:43:12,2024-05-13 19:41:20,Linea_13-A
241,2024-05-13 04:37:26,2024-05-13 13:34:20,Linea_13-A
242,2024-05-13 04:47:27,2024-05-13 19:38:00,Linea_13-A
301,2024-05-13 04:36:13,2024-05-13 21:10:41,Linea_6
303,2024-05-13 04:30:28,2024-05-13 21:15:03,Linea_6
305,2024-05-13 04:39:06,2024-05-13 11:28:10,Linea_6
306,2024-05-13 04:41:24,2024-05-13 21:40:26,Linea_6
307,2024-05-13 04:40:55,2024-05-13 19:02:17,Linea_6
308,2024-05-13 04:42:12,2024-05-13 20:43:55,Linea_6
309,2024-05-13 04:29:06,2024-05-13 19:27:00,Linea_6
310,2024-05-13 04:34:23,2024-05-13 19:55:23,Linea_6
401,2024-05-13 04:16:40,2024-05-13 20:56:35,Linea_7
402,2024-05-13 04:15:55,2024-05-13 19:41:34,Linea_7
49,2024-05-13 04:39:14,2024-05-13 21:04:51,Linea_12
51,2024-05-13 05:14:17,2024-05-13 13:01:35,Linea_12
53,2024-05-13 07:08:12,2024-05-13 08:35:45,Linea_12
55,2024-05-13 04:28:53,2024-05-13 18:46:45,Linea_12
56,2024-05-13 04:23:45,2024-05-13 21:30:00,Linea_12
57,2024-05-13 04:39:36,2024-05-13 12:29:14,Linea_12
62,2024-05-13 04:44:33,2024-05-13 06:21:15,Linea_12
63,2024-05-13 06:53:04,2024-05-13 10:38:42,Linea_12
64,2024-05-13 06:52:17,2024-05-13 13:27:13,Linea_12
66,2024-05-13 04:13:34,2024-05-13 21:17:16,Linea_12
67,2024-05-13 06:28:55,2024-05-13 19:11:24,Linea_12
68,2024-05-13 04:09:10,2024-05-13 18:35:03,Linea_18-A
71,2024-05-13 04:03:50,2024-05-13 09:45:39,Linea_12
74,2024-05-13 04:53:40,2024-05-13 18:55:05,Linea_1
87,2024-05-13 04:10:58,2024-05-13 17:57:12,Linea_18-A
88,2024-05-13 12:53:25,2024-05-13 21:03:25,Linea_18-A
89,2024-05-13 05:30:46,2024-05-13 19:50:29,Linea_12
90,2024-05-13 04:50:51,2024-05-13 19:23:21,Linea_12
